Date,VCN.TO,XIC.TO,BTCC-B.TO,ETHH-B.TO
2023-02-02,42.0099983215332,33.060001373291016,4.639999866485596,7.880000114440918
2023-02-03,42.040000915527344,33.06999969482422,4.550000190734863,7.800000190734863
2023-02-06,41.79999923706055,32.869998931884766,4.5,7.809999942779541
2023-02-07,41.970001220703125,33.029998779296875,4.53000020980835,7.849999904632568
2023-02-08,41.880001068115234,32.959999084472656,4.46999979019165,7.789999961853027
2023-02-09,41.72999954223633,32.83000183105469,4.304999828338623,7.489999771118164
2023-02-10,41.790000915527344,32.849998474121094,4.210000038146973,7.199999809265137
2023-02-13,41.970001220703125,32.9900016784668,4.184999942779541,7.0
2023-02-14,41.9900016784668,33.02000045776367,4.304999828338623,7.329999923706055
2023-02-15,42.0,33.060001373291016,4.699999809265137,7.849999904632568
2023-02-16,41.79999923706055,32.869998931884766,4.809999942779541,7.96999979019165
2023-02-17,41.63999938964844,32.720001220703125,4.909999847412109,8.100000381469727
2023-02-21,41.099998474121094,32.29999923706055,4.820000171661377,7.940000057220459
2023-02-22,40.970001220703125,32.189998626708984,4.679999828338623,7.690000057220459
2023-02-23,40.9900016784668,32.209999084472656,4.710000038146973,7.864999771118164
2023-02-24,41.0099983215332,32.25,4.59499979019165,7.71999979019165
2023-02-27,41.130001068115234,32.33000183105469,4.610000133514404,7.739999771118164
2023-02-28,41.04999923706055,32.27000045776367,4.619999885559082,7.820000171661377
2023-03-01,41.130001068115234,32.349998474121094,4.630000114440918,7.840000152587891
2023-03-02,41.310001373291016,32.4900016784668,4.630000114440918,7.880000114440918
2023-03-03,41.790000915527344,32.869998931884766,4.409999847412109,7.46999979019165
2023-03-06,41.689998626708984,32.77000045776367,4.414999961853027,7.480000019073486
2023-03-07,41.209999084472656,32.380001068115234,4.400000095367432,7.489999771118164
2023-03-08,41.36000061035156,32.4900016784668,4.420000076293945,7.559999942779541
2023-03-09,40.84000015258789,32.11000061035156,4.039999961853027,6.849999904632568
2023-03-10,40.209999084472656,31.610000610351562,4.0,6.889999866485596
2023-03-13,39.83000183105469,31.309999465942383,4.869999885559082,8.100000381469727
2023-03-14,40.02000045776367,31.5,5.010000228881836,8.279999732971191
2023-03-15,39.439998626708984,30.989999771118164,4.889999866485596,7.989999771118164
2023-03-16,39.79999923706055,31.270000457763672,4.980000019073486,8.100000381469727
2023-03-17,39.45000076293945,31.020000457763672,5.380000114440918,8.395000457763672
2023-03-20,39.75,31.239999771118164,5.53000020980835,8.430000305175781
2023-03-21,40.0099983215332,31.459999084472656,5.630000114440918,8.59000015258789
2023-03-22,39.790000915527344,31.010000228881836,5.329999923706055,8.319999694824219
2023-03-23,39.625,30.8700008392334,5.670000076293945,8.789999961853027
2023-03-24,39.720001220703125,30.950000762939453,5.559999942779541,8.520000457763672
2023-03-27,39.959999084472656,31.149999618530273,5.355000019073486,8.170000076293945
2023-03-28,40.02000045776367,31.219999313354492,5.409999847412109,8.520000457763672
2023-03-29,40.400001525878906,31.5,5.605000019073486,8.630000114440918
2023-03-30,40.650001525878906,31.68000030517578,5.5,8.489999771118164
2023-03-31,40.63999938964844,31.93000030517578,5.599999904632568,8.699999809265137
2023-04-03,41.060001373291016,32.2400016784668,5.46999979019165,8.569999694824219
2023-04-04,41.040000915527344,32.2400016784668,5.5,8.819999694824219
2023-04-05,40.849998474121094,32.060001373291016,5.519999980926514,9.029999732971191
2023-04-06,40.91999816894531,32.130001068115234,5.489999771118164,8.859999656677246
2023-04-10,41.04999923706055,32.2599983215332,5.75,8.960000038146973
2023-04-11,41.36000061035156,32.4900016784668,5.909999847412109,8.960000038146973
2023-04-12,41.43000030517578,32.529998779296875,5.829999923706055,8.989999771118164
2023-04-13,41.630001068115234,32.720001220703125,5.909999847412109,9.4399995803833
2023-04-14,41.68000030517578,32.7400016784668,5.880000114440918,9.819999694824219
2023-04-17,41.810001373291016,32.83000183105469,5.739999771118164,9.770000457763672
2023-04-18,41.88999938964844,32.90999984741211,5.880000114440918,9.789999961853027
2023-04-19,41.880001068115234,32.88999938964844,5.710000038146973,9.359999656677246
2023-04-20,41.779998779296875,32.810001373291016,5.5,9.119999885559082
2023-04-21,41.91999816894531,32.93000030517578,5.360000133514404,8.75
2023-04-24,41.91999816894531,32.93000030517578,5.389999866485596,8.720000267028809
2023-04-25,41.41999816894531,32.540000915527344,5.460000038146973,8.789999961853027
2023-04-26,41.279998779296875,32.43000030517578,5.510000228881836,8.770000457763672
2023-04-27,41.630001068115234,32.70000076293945,5.849999904632568,9.170000076293945
2023-04-28,41.849998474121094,32.86000061035156,5.760000228881836,9.010000228881836
2023-05-01,41.810001373291016,32.84000015258789,5.460000038146973,8.609999656677246
2023-05-02,41.400001525878906,32.4900016784668,5.659999847412109,8.9399995803833
2023-05-03,41.27000045776367,32.40999984741211,5.590000152587891,8.920000076293945
2023-05-04,41.040000915527344,32.2400016784668,5.679999828338623,8.90999984741211
2023-05-05,41.65999984741211,32.720001220703125,5.75,9.359999656677246
2023-05-08,41.75,32.77000045776367,5.309999942779541,8.609999656677246
2023-05-09,41.72999954223633,32.779998779296875,5.369999885559082,8.6899995803833
2023-05-10,41.59000015258789,32.66999816894531,5.364999771118164,8.6899995803833
2023-05-11,41.43000030517578,32.529998779296875,5.25,8.449999809265137
2023-05-12,41.459999084472656,32.540000915527344,5.210000038146973,8.520000457763672
2023-05-15,41.689998626708984,32.72999954223633,5.340000152587891,8.640000343322754
2023-05-16,41.09000015258789,32.2599983215332,5.28000020980835,8.609999656677246
2023-05-17,41.189998626708984,32.36000061035156,5.340000152587891,8.619999885559082
2023-05-18,41.189998626708984,32.369998931884766,5.25,8.5
2023-05-19,41.33000183105469,32.459999084472656,5.25,8.59000015258789
2023-05-23,40.869998931884766,32.13999938964844,5.320000171661377,8.770000457763672
2023-05-24,40.439998626708984,31.790000915527344,5.179999828338623,8.529999732971191
2023-05-25,40.150001525878906,31.549999237060547,5.230000019073486,8.630000114440918
2023-05-26,40.45000076293945,31.780000686645508,5.28000020980835,8.75
2023-05-29,40.56999969482422,31.860000610351562,5.429999828338623,8.989999771118164
2023-05-30,40.11000061035156,31.510000228881836,5.480000019073486,9.079999923706055
2023-05-31,39.7599983215332,31.25,5.320000171661377,8.880000114440918
2023-06-01,39.97999954223633,31.399999618530273,5.239999771118164,8.819999694824219
2023-06-02,40.709999084472656,31.979999542236328,5.309999942779541,8.989999771118164
2023-06-05,40.52000045776367,31.84000015258789,5.0,8.520000457763672
2023-06-06,40.77000045776367,32.029998779296875,5.264999866485596,8.890000343322754
2023-06-07,40.63999938964844,31.899999618530273,5.139999866485596,8.6899995803833
2023-06-08,40.560001373291016,31.850000381469727,5.130000114440918,8.65999984741211
2023-06-09,40.459999084472656,31.790000915527344,5.110000133514404,8.579999923706055
2023-06-12,40.540000915527344,31.84000015258789,5.010000228881836,8.09000015258789
2023-06-13,40.68000030517578,31.940000534057617,5.0,8.100000381469727
2023-06-14,40.72999954223633,32.0099983215332,4.989999771118164,8.0600004196167
2023-06-15,40.810001373291016,32.040000915527344,4.880000114440918,7.730000019073486
2023-06-16,40.70000076293945,31.959999084472656,5.03000020980835,7.949999809265137
2023-06-19,40.63999938964844,31.90999984741211,5.099999904632568,7.96999979019165
2023-06-20,40.27000045776367,31.610000610351562,5.409999847412109,8.239999771118164
2023-06-21,40.15999984741211,31.520000457763672,5.75,8.670000076293945
2023-06-22,39.90999984741211,31.34000015258789,5.769999980926514,8.699999809265137
2023-06-23,39.58000183105469,31.079999923706055,5.909999847412109,8.789999961853027
2023-06-26,39.91999816894531,31.06999969482422,5.78000020980835,8.5600004196167
2023-06-27,40.25,31.31999969482422,5.869999885559082,8.739999771118164
2023-06-28,40.40999984741211,31.440000534057617,5.789999961853027,8.520000457763672
2023-06-29,40.650001525878906,31.639999389648438,5.889999866485596,8.619999885559082
2023-06-30,40.84000015258789,32.0099983215332,5.829999923706055,8.90999984741211
2023-07-04,40.959999084472656,32.09000015258789,5.889999866485596,8.960000038146973
2023-07-05,40.720001220703125,31.950000762939453,5.849999904632568,8.869999885559082
2023-07-06,40.15999984741211,31.489999771118164,5.889999866485596,8.800000190734863
2023-07-07,40.209999084472656,31.520000457763672,5.800000190734863,8.680000305175781
2023-07-10,40.16999816894531,31.520000457763672,5.920000076293945,8.8100004196167
2023-07-11,40.29999923706055,31.6200008392334,5.860000133514404,8.6899995803833
2023-07-12,40.689998626708984,31.90999984741211,5.78000020980835,8.649999618530273
2023-07-13,41.11000061035156,32.25,6.019999980926514,9.109999656677246
2023-07-14,41.08000183105469,32.209999084472656,5.75,8.850000381469727
2023-07-17,41.040000915527344,32.16999816894531,5.710000038146973,8.720000267028809
2023-07-18,41.310001373291016,32.38999938964844,5.659999847412109,8.720000267028809
2023-07-19,41.560001373291016,32.58000183105469,5.710000038146973,8.800000190734863
2023-07-20,41.474998474121094,32.4900016784668,5.670000076293945,8.699999809265137
2023-07-21,41.689998626708984,32.66999816894531,5.710000038146973,8.75
2023-07-24,41.779998779296875,32.72999954223633,5.539999961853027,8.510000228881836
2023-07-25,41.7400016784668,32.70000076293945,5.550000190734863,8.550000190734863
2023-07-26,41.75,32.720001220703125,5.599999904632568,8.609999656677246
2023-07-27,41.43000030517578,32.45000076293945,5.579999923706055,8.619999885559082
2023-07-28,41.709999084472656,32.66999816894531,5.599999904632568,8.649999618530273
2023-07-31,41.849998474121094,32.81999969482422,5.559999942779541,8.600000381469727
2023-08-01,41.720001220703125,32.70000076293945,5.610000133514404,8.59000015258789
2023-08-02,41.099998474121094,32.189998626708984,5.619999885559082,8.579999923706055
2023-08-03,40.90999984741211,32.040000915527344,5.639999866485596,8.619999885559082
2023-08-04,41.119998931884766,32.209999084472656,5.610000133514404,8.569999694824219
2023-08-08,41.04999923706055,32.18000030517578,5.78000020980835,8.640000343322754
2023-08-09,41.20500183105469,32.290000915527344,5.710000038146973,8.65999984741211
2023-08-10,41.34000015258789,32.38999938964844,5.71999979019165,8.670000076293945
2023-08-11,41.45000076293945,32.4900016784668,5.710000038146973,8.649999618530273
2023-08-14,41.22999954223633,32.31999969482422,5.710000038146973,8.670000076293945
2023-08-15,40.47999954223633,31.700000762939453,5.690000057220459,8.619999885559082
2023-08-16,40.459999084472656,31.709999084472656,5.679999828338623,8.600000381469727
2023-08-17,40.29999923706055,31.579999923706055,5.460000038146973,8.270000457763672
2023-08-18,40.310001373291016,31.579999923706055,5.090000152587891,7.849999904632568
2023-08-21,40.25,31.549999237060547,5.099999904632568,7.909999847412109
2023-08-22,40.06999969482422,31.399999618530273,5.045000076293945,7.699999809265137
2023-08-23,40.459999084472656,31.690000534057617,5.210000038146973,7.960000038146973
2023-08-24,40.25,31.559999465942383,5.090000152587891,7.840000152587891
2023-08-25,40.369998931884766,31.6299991607666,5.099999904632568,7.800000190734863
2023-08-28,40.7400016784668,31.93000030517578,5.099999904632568,7.829999923706055
2023-08-29,41.290000915527344,32.36000061035156,5.440000057220459,8.199999809265137
2023-08-30,41.380001068115234,32.439998626708984,5.300000190734863,8.050000190734863
2023-08-31,41.33000183105469,32.400001525878906,5.110000133514404,7.829999923706055
2023-09-01,41.849998474121094,32.79999923706055,5.039999961853027,7.699999809265137
2023-09-05,41.599998474121094,32.59000015258789,5.059999942779541,7.769999980926514
2023-09-06,41.209999084472656,32.27000045776367,5.039999961853027,7.760000228881836
2023-09-07,41.040000915527344,32.15999984741211,5.099999904632568,7.820000171661377
2023-09-08,40.90999984741211,32.060001373291016,5.090000152587891,7.789999961853027
2023-09-11,41.15999984741211,32.22999954223633,4.909999847412109,7.289999961853027
2023-09-12,41.22999954223633,32.279998779296875,5.090000152587891,7.559999942779541
2023-09-13,41.34000015258789,32.38999938964844,5.110000133514404,7.559999942779541
2023-09-14,41.97999954223633,32.88999938964844,5.190000057220459,7.699999809265137
2023-09-15,42.04999923706055,32.90999984741211,5.150000095367432,7.639999866485596
2023-09-18,41.81999969482422,32.77000045776367,5.21999979019165,7.715000152587891
2023-09-19,41.290000915527344,32.34000015258789,5.269999980926514,7.699999809265137
2023-09-20,41.27000045776367,32.31999969482422,5.25,7.599999904632568
2023-09-21,40.43000030517578,31.65999984741211,5.170000076293945,7.46999979019165
2023-09-22,40.38999938964844,31.639999389648438,5.170000076293945,7.46999979019165
2023-09-25,40.40999984741211,31.40999984741211,5.130000114440918,7.480000019073486
2023-09-26,39.95000076293945,31.020000457763672,5.130000114440918,7.489999771118164
2023-09-27,39.709999084472656,30.81999969482422,5.119999885559082,7.519999980926514
2023-09-28,39.75,31.09000015258789,5.289999961853027,7.784999847412109
2023-09-29,39.68000030517578,31.040000915527344,5.269999980926514,7.880000114440918
2023-10-02,38.959999084472656,30.479999542236328,5.579999923706055,7.539999961853027
2023-10-03,38.630001068115234,30.219999313354492,5.420000076293945,7.869999885559082
2023-10-04,38.65999984741211,30.229999542236328,5.489999771118164,7.869999885559082
2023-10-05,38.900001525878906,30.43000030517578,5.449999809265137,7.739999771118164
2023-10-06,39.119998931884766,30.600000381469727,5.53000020980835,7.860000133514404
2023-10-10,39.63999938964844,30.989999771118164,5.360000133514404,7.420000076293945
2023-10-11,39.97999954223633,31.25,5.239999771118164,7.380000114440918
2023-10-12,39.65999984741211,31.0,5.28000020980835,7.309999942779541
2023-10-13,39.59000015258789,30.940000534057617,5.269999980926514,7.349999904632568
2023-10-16,39.91999816894531,31.190000534057617,5.579999923706055,7.545000076293945
2023-10-17,40.040000915527344,31.309999465942383,5.59499979019165,7.449999809265137
2023-10-18,39.56999969482422,30.93000030517578,5.579999923706055,7.46999979019165
2023-10-19,39.349998474121094,30.760000228881836,5.690000057220459,7.480000019073486
2023-10-20,38.88999938964844,30.399999618530273,5.849999904632568,7.679999828338623
2023-10-23,38.75,30.290000915527344,6.190000057220459,8.149999618530273
2023-10-24,38.61000061035156,30.200000762939453,6.670000076293945,8.5
2023-10-25,38.560001373291016,30.139999389648438,6.920000076293945,8.59000015258789
2023-10-26,38.41999816894531,30.030000686645508,6.789999961853027,8.630000114440918
2023-10-27,38.150001525878906,29.829999923706055,6.75,8.569999694824219
2023-10-30,38.400001525878906,30.030000686645508,6.860000133514404,8.699999809265137
2023-10-31,38.45000076293945,30.049999237060547,6.889999866485596,8.770000457763672
2023-11-01,38.849998474121094,30.3700008392334,6.920000076293945,8.859999656677246
2023-11-02,39.93000030517578,31.25,6.929999828338623,8.680000305175781
2023-11-03,40.34000015258789,31.56999969482422,6.820000171661377,8.670000076293945
2023-11-06,40.18000030517578,31.440000534057617,6.920000076293945,9.050000190734863
2023-11-07,39.869998931884766,31.170000076293945,7.079999923706055,9.149999618530273
2023-11-08,39.77000045776367,31.079999923706055,7.079999923706055,9.119999885559082
2023-11-09,39.88999938964844,31.190000534057617,7.260000228881836,9.789999961853027
2023-11-10,40.02000045776367,31.290000915527344,7.420000076293945,9.970000267028809
2023-11-13,40.119998931884766,31.389999389648438,7.269999980926514,10.020000457763672
2023-11-14,40.779998779296875,31.899999618530273,6.940000057220459,9.430000305175781
2023-11-15,40.83000183105469,31.940000534057617,7.420000076293945,9.760000228881836
2023-11-16,40.86000061035156,31.959999084472656,7.139999866485596,9.369999885559082
2023-11-17,41.11000061035156,32.13999938964844,7.239999771118164,9.350000381469727
2023-11-20,41.2599983215332,32.25,7.429999828338623,9.75
2023-11-21,40.9900016784668,32.060001373291016,7.349999904632568,9.510000228881836
2023-11-22,41.0,32.060001373291016,7.489999771118164,10.010000228881836
2023-11-23,41.0099983215332,32.08000183105469,7.380000114440918,9.869999885559082
2023-11-24,40.970001220703125,32.040000915527344,7.460000038146973,9.9399995803833
2023-11-27,40.81999969482422,31.940000534057617,7.21999979019165,9.449999809265137
2023-11-28,40.84000015258789,31.950000762939453,7.460000038146973,9.770000457763672
2023-11-29,41.029998779296875,32.09000015258789,7.349999904632568,9.579999923706055
2023-11-30,41.29999923706055,32.29999923706055,7.329999923706055,9.630000114440918
2023-12-01,41.72999954223633,32.630001068115234,7.519999980926514,9.800000190734863
2023-12-04,41.63999938964844,32.56999969482422,8.130000114440918,10.5
2023-12-05,41.59000015258789,32.52000045776367,8.579999923706055,10.71500015258789
2023-12-06,41.380001068115234,32.36000061035156,8.569999694824219,10.680000305175781
2023-12-07,41.380001068115234,32.380001068115234,8.470000267028809,11.119999885559082
2023-12-08,41.5,32.470001220703125,8.680000305175781,11.199999809265137
2023-12-11,41.4900016784668,32.45000076293945,7.940000057220459,10.359999656677246
2023-12-12,41.33000183105469,32.31999969482422,8.050000190734863,10.319999694824219
2023-12-13,42.099998474121094,32.95000076293945,8.329999923706055,10.630000114440918
2023-12-14,42.43000030517578,33.220001220703125,8.289999961853027,10.670000076293945
2023-12-15,41.91999816894531,32.810001373291016,8.130000114440918,10.489999771118164
2023-12-18,42.13999938964844,32.970001220703125,8.0649995803833,10.15999984741211
2023-12-19,42.58000183105469,33.310001373291016,8.079999923706055,10.039999961853027
2023-12-20,42.06999969482422,32.93000030517578,8.350000381469727,10.15999984741211
2023-12-21,42.40999984741211,33.20000076293945,8.359999656677246,10.329999923706055
2023-12-22,42.650001525878906,33.369998931884766,8.34000015258789,10.670000076293945
2023-12-27,42.939998626708984,33.599998474121094,8.270000457763672,10.800000190734863
2023-12-28,42.5,33.31999969482422,8.09000015258789,10.850000381469727
2023-12-29,42.56999969482422,33.369998931884766,8.039999961853027,10.65999984741211
2024-01-02,42.41999816894531,33.2400016784668,8.579999923706055,11.109999656677246
2024-01-03,42.31999969482422,33.15999984741211,8.199999809265137,10.300000190734863
2024-01-04,42.41999816894531,33.2400016784668,8.470000267028809,10.550000190734863
2024-01-05,42.560001373291016,33.33000183105469,8.4399995803833,10.449999809265137
2024-01-08,42.849998474121094,33.54999923706055,8.979999542236328,10.880000114440918
2024-01-09,42.650001525878906,33.43000030517578,9.020000457763672,10.470000267028809
2024-01-10,42.68000030517578,33.43000030517578,8.75,11.5600004196167
2024-01-11,42.540000915527344,33.33000183105469,8.880000114440918,12.050000190734863
2024-01-12,42.65999984741211,33.43000030517578,8.34000015258789,11.960000038146973
2024-01-15,42.810001373291016,33.56999969482422,8.25,11.770000457763672
2024-01-16,42.560001373291016,33.36000061035156,8.3100004196167,12.130000114440918
2024-01-17,42.06999969482422,32.97999954223633,8.25,11.90999984741211
2024-01-18,42.20000076293945,33.06999969482422,7.840000152587891,11.430000305175781
2024-01-19,42.5099983215332,33.310001373291016,8.0,11.550000190734863
2024-01-22,42.54999923706055,33.349998474121094,7.730000019073486,10.920000076293945
2024-01-23,42.7599983215332,33.52000045776367,7.550000190734863,10.25
2024-01-24,42.75,33.529998779296875,7.670000076293945,10.319999694824219
2024-01-25,42.90999984741211,33.65999984741211,7.679999828338623,10.359999656677246
2024-01-26,42.970001220703125,33.68000030517578,8.100000381469727,10.550000190734863
2024-01-29,43.15999984741211,33.810001373291016,8.300000190734863,10.720000267028809
2024-01-30,43.209999084472656,33.849998474121094,8.359999656677246,11.0600004196167
2024-01-31,42.790000915527344,33.560001373291016,8.180000305175781,10.680000305175781
2024-02-01,42.97999954223633,33.689998626708984,8.25,10.670000076293945
2024-02-02,42.95000076293945,33.63999938964844,8.260000228881836,10.729999542236328
2024-02-05,42.5,33.29999923706055,8.220000267028809,10.729999542236328
2024-02-06,42.689998626708984,33.439998626708984,8.329999923706055,11.119999885559082
2024-02-07,42.709999084472656,33.459999084472656,8.510000228881836,11.380000114440918
2024-02-08,42.630001068115234,33.369998931884766,8.779999732971191,11.319999694824219
2024-02-09,42.790000915527344,33.52000045776367,9.170000076293945,11.640000343322754
